customerID,firstVisitDate,secondVisitDate,articleID,section,author,headline,topicKeywords,totalVisits,wordCount,videoCount
15,2018-03-16 00:19:44 UTC,,SB10053721253826474326804584099160047332756,WSJ_Politics,Michael C. Bender|Felicia Schwartz,WSJ_Article_Politics and Policy_Rex Tillerson Is Out as Secretary of State; Donald Trump Taps Mike P,department|dept|donald|ousted|out|resigns|russ|state|tillerson|trump|Donald Trump|Rex Tillerson|regu,1,1353.0,0.0
16,2018-03-14 09:34:36 UTC,,SB11704195083378974371404584099754000604392,WSJ_Politics,Reid J. Epstein|Joshua Jamerson,WSJ_Article_Politics and Policy_Pennsylvania’s Special House Race Is Trial Run for Midterm Strateg,campaign 2018|conor lamb|control of congress|election 2018|election too close to call|midterm electi,1,1337.0,1.0
17,2018-03-15 22:13:58 UTC,,SB10385287216379884548704584103573829894250,WSJ_Opinion,Peggy Noonan,WSJ_Article_Declarations_Deliverance From Hillary Clinton,2016 election|2018|conor lamb|deplorables|donald trump|hillary clinton|india|Conor Lamb|political|ge,1,1295.0,0.0
18,2018-03-15 09:49:43 UTC,,SB12123169795058123920404584029341390640648,WSJ_Life,Steven Pinker,WSJ_Article_The Saturday Essay_The Enlightenment             Is Working,democracy|despotism|education|enlightenment|literacy|poverty|steven pinker|violence|wars|world econo,1,2307.0,0.0
19,2018-03-16 00:11:34 UTC,,SB11027093093037343542404584103250800820072,WSJ_Tech,Ted Greenwald,WSJ_Article_Technology_What’s Next for Broadcom and the Chip Industry’s Biggest Deal Maker?,business technology|chip companies|m&amp;a|silicon valley|smartphones|Broadcom|AVGO|Qualcomm|QCOM|Ho,1,973.0,0.0
20,2018-03-13 10:44:25 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
21,2018-03-10 23:28:29 UTC,2018-06-06 00:00:00 UTC,SB11214475680780514876604583604463326934122,WSJ_Business,Sarah+Kent,WSJ_Article_Business_Inside the Bribery Scandal Sweeping Through the Oil Industry,bribery| corruption| foreign corrupt practices act|leder| nigeria| oil exploration|ENI S.p.A.|ENI.MI,5,,
22,2018-03-14 12:52:36 UTC,,SB10342241267609484717704584101481939436054,WSJ_Business,,WSJ_Article_Business_SEC Charges Theranos and founder Elizabeth Holmes With Fraud,vc industry news|Elizabeth Holmes|corporate crime|legal action|corporate|industrial news|political|g,1,1710.0,0.0
23,2018-03-15 19:37:53 UTC,2018-05-11 00:00:00 UTC,SB10961112392510633702504584103743907171728,WSJ_Opinion,The+Editorial+Board,WSJ_Article_Review &amp; Outlook (U.S.)_Andrew McCabe and Consequences,dismiss|fire| ig| inspector general| investigation| pension| retire|Andrew McCabe|political|general,3,316.0,0.0
24,2018-03-16 14:09:47 UTC,,SB11027093093037343542404584105290821213788,WSJ_Politics,Michael+C.+Bender,WSJ_Article_Politics and Policy_Donald Trump and John Kelly Reach Truce,cabinet|chief of staff|firings|john kelly|staff turnover|trump|trump administration|white house|Dona,1,1274.0,0.0
25,2018-03-09 17:13:22 UTC,,SB11210326209662973945104584091642991444798,WSJ_Politics,Rebecca Ballhaus|Peter Nicholas,WSJ_Article_Politics and Policy_Trump Lawyers Seek Deal With Mueller to Speed End of Russia Probe,2016 presidential election|donald trump| interview| lawyers| obstruction of justice| robert mueller|,1,732.0,1.0
26,2018-03-13 14:26:29 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender|Rebecca Ballhaus,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
27,2018-03-13 17:39:33 UTC,,SB11210326209662973945104584089602816566032,WSJ_Markets,Christina Rexrode|Laura Kusisto,WSJ_Article_Markets Main_Mortgage Rates at a Four-Year High Threaten to Roil Housing,housing|housing data|housing market|mortgage rates|refinancing|PNC Financial Services Group|PNC|econ,1,1150.0,0.0
28,2018-03-13 12:23:16 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
29,2018-03-12 19:21:39 UTC,2018-05-26 00:00:00 UTC,SB11115384206897403412704584097272865136690,WSJ_Tech,Kate O’Keeffe,"WSJ_Article_Technology_In Letter, CFIUS Suggests It May Soon Recommend Against Broadcom Bid for Qual",broadcom|centers|chips|computer|data|hostle|intel|merger|over|pe deals|phone|qualcomm|take|takeover|,2,1123.0,1.0
30,2018-03-18 15:54:38 UTC,,SB10961112392510633702504584107522489173200,WSJ_Life,Andrew Beaton|Ben Cohen,WSJ_Article_College Basketball_Why UMBC Was the Perfect Team to Pull Off the Ultimate NCAA Tournamen,march madness|ncaa|ncaa tournament|umbc|umbc retrievers|university of maryland baltimore county|uva|,1,1458.0,0.0
31,2018-03-09 14:03:00 UTC,,SB10134659534830883462704584083250523366832,WSJ_Life,Jacob Gallagher,WSJ_Article_Fashion_Stop Dressing Like Every Guy In America: Give Up Your Gingham Shirts,button downs|collared shirts|formal shirts|gingham|gingham shirts|j. crew|mens fashion|political|gen,1,740.0,0.0
32,2018-03-14 10:49:40 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael C. Bender|Felicia Schwartz,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’—Inside the Awkward Relationship Between R",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
33,2018-03-09 18:50:12 UTC,2018-03-22 00:00:00 UTC,SB12775101498795324251604584091654130126032,WSJ_Markets,Dana Mattioli|Dana Cimilluca,WSJ_Article_Markets Main_Intel Considers Possible Bid for Broadcom,acquisition|broadcom|intel|merger|qualcome|qualcomm|Intel|INTC|Broadcom|AVGO|Qualcomm|QCOM|Apple|AAP,6,1162.0,0.0
34,2018-03-14 23:47:37 UTC,,SB10385287216379884548704584101760924450926,WSJ_Opinion,The Editorial Page,WSJ_Article_Review & Outlook (U.S.)_Kudlow Into the Breach,White House National Economic Council|political|general news|politics|international relations|domest,1,575.0,0.0
35,2018-03-15 14:08:33 UTC,,SB11027093093037343542404584102021361342720,WSJ_Business,Paul Ziobro|Lillian Rizzo,"WSJ_Article_Business_With Death of Toys ‘R’ Us, Toy Makers Brace for Major Hit",toys &#39;r&#39; us|toys bankruptcies|Toys &quot;R&quot; Us|Toys “R” Us|Amazon.com|AMZN|Best Buy,1,964.0,1.0
36,2018-03-10 13:58:20 UTC,2018-04-08 00:00:00 UTC,SB12775101498795324251604584091654130126032,WSJ_Markets,Dana+Mattioli,WSJ_Article_Markets Main_Intel May Intervene in Broadcom’s Effort to Buy Qualcomm,acquisition|broadcom|intel|merger|qualcomm|Intel|INTC|Broadcom|AVGO|Qualcomm|QCOM|Apple|AAPL|Samsung,2,1162.0,0.0
37,2018-03-13 04:47:54 UTC,,SB12123169795058123920404584029341390640648,WSJ_Life,Steven Pinker,WSJ_Article_The Saturday Essay_The Enlightenment             Is Working,democracy|despotism|education|enlightenment|literacy|poverty|steven pinker|violence|wars|world econo,1,2307.0,0.0
38,2018-03-13 09:32:14 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald Trump|John Mc,1,657.0,0.0
39,2018-03-13 11:59:09 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
40,2018-03-13 10:41:55 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Is Fired,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
41,2018-03-16 12:52:21 UTC,,SB11027093093037343542404584105290821213788,WSJ_Politics,Michael C. Bender,WSJ_Article_Politics and Policy_Donald Trump and John Kelly Reach Temporary Truce,cabinet|chief of staff|firings|john kelly|staff turnover|trump|trump administration|white house|Dona,1,1274.0,0.0
42,2018-03-14 13:31:31 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
43,2018-03-14 12:42:58 UTC,,SB10064993444797713693304584015331423804364,WSJ_Business,Khadeeja Safdar,WSJ_Article_Business_The Boss of Victoria’s Secret Bets on a Radical Idea: Smartphones Will Fade,leder| lingerie| online shopping|retail| shopping malls| specialty retailer|L Brands|LB|Leslie Wexne,1,2007.0,0.0
44,2018-03-14 19:03:25 UTC,,SB11027093093037343542404584101822248659720,WSJ_Business,Paul+Ziobro,WSJ_Article_Business_Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,bankruptcy|bankruptcynews| jobs| liquidiation|pe restructuring| retail| toys r us|Toys ‘R&#39; Us|,1,942.0,1.0
45,2018-03-14 20:02:10 UTC,2018-04-15 00:00:00 UTC,SB10342241267609484717704584101481939436054,WSJ_Business,John+Carreyrou,WSJ_Article_Business_SEC Charges Theranos CEO Elizabeth Holmes With Fraud,blood testing| edison| elizabeth holmes| sec| silicon valley| sunny balwani|theranos| unicorns|vc in,3,1710.0,0.0
46,2018-03-18 11:21:15 UTC,,SB11027093093037343542404584105923711823930,WSJ_Politics,Janet+Hook,WSJ_Article_Politics and Policy_Democrats Regain Double-Digit Advantage Over GOP in Voter Sentiment,congress|democrats|donald trump|gop|midterm elections|nra|planned parenthood|poll|republicans|survey,1,821.0,0.0
47,2018-03-14 10:41:45 UTC,,SB11704195083378974371404584099341976970128,WSJ_Business,Rory+Jones,WSJ_Article_Business_Mediterranean Gas Bounty Suddenly Seems Within Big Oil’s Reach,big oil companies|eastern mediterranean|egyptian liquefaction facility|energy deals|mediterranean|na,1,980.0,0.0
48,2018-03-13 10:39:32 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja+Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
49,2018-03-09 09:32:12 UTC,,SB11210326209662973945104584089602816566032,WSJ_Markets,Christina+Rexrode,WSJ_Article_Markets Main_Mortgage Rates at a Four-Year High Threaten to Roil Housing,housing|housing data|housing market|mortgage rates|refinancing|PNC Financial Services Group|PNC|econ,1,1150.0,0.0
50,2018-03-14 09:00:20 UTC,,SB11704195083378974371404584099754000604392,WSJ_Politics,Reid+J.+Epstein,WSJ_Article_Politics and Policy_Democrat Clings to Razor-Thin Lead in Pennsylvania House Race,campaign 2018|conor lamb|control of congress|election 2018|election too close to call|midterm electi,1,1337.0,1.0
51,2018-03-14 23:09:05 UTC,,SB10883837438570753770304584015173590609190,WSJ_Markets,Chana+R.+Schoenberger,WSJ_Article_Journal Reports: Funds &amp; ETFs_What to Consider Before Using a ‘529’ to Pay for K,college costs|college education|journal reports|saving for college|Abby Chao|Andrea Fierstein|politi,1,1356.0,0.0
52,2018-03-16 23:34:33 UTC,,SB10961112392510633702504584103743907171728,WSJ_Opinion,The+Editorial+Board,WSJ_Article_Review &amp; Outlook (U.S.)_Andrew McCabe and Consequences,dismiss|fire| ig| inspector general| investigation| pension| retire|Andrew McCabe|political|general,1,316.0,0.0
53,2018-03-14 21:37:38 UTC,2018-04-03 00:00:00 UTC,SB11027093093037343542404584101822248659720,WSJ_Business,Paul+Ziobro,WSJ_Article_Business_Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,bankruptcy|bankruptcynews| jobs| liquidiation|pe restructuring| retail| toys r us|Toys ‘R&#39; Us|,4,942.0,1.0
54,2018-03-13 17:50:45 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael+C.+Bender,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’: Inside the Awkward Relationship Between Re",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
55,2018-03-14 21:50:26 UTC,2018-03-15 00:00:00 UTC,SB11027093093037343542404584101822248659720,WSJ_Business,Paul+Ziobro,WSJ_Article_Business_Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,bankruptcy|bankruptcynews| jobs| liquidiation|pe restructuring| retail| toys r us|Toys ‘R&#39; Us|,2,942.0,1.0
56,2018-03-15 11:01:57 UTC,,SB11027093093037343542404584103020000210850,WSJ_Markets,Julie+Steinberg,WSJ_Article_Markets Main_China Tech Titan Alibaba Plans Stock-Market Homecoming,Alibaba Group|BABA|Alibaba Group Holding|corporate changes|plans|strategy|stock listings|corporate f,1,885.0,0.0
57,2018-03-13 16:07:23 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael+C.+Bender,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’: Inside the Awkward Relationship Between Re",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
58,2018-03-13 19:22:05 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael+C.+Bender,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’: Inside the Awkward Relationship Between Re",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
59,2018-03-11 11:03:52 UTC,,SB11094844722466913615704582450424084478222,WSJ_Life,Will+Schwalbe,WSJ_Article_The Saturday Essay_The Need to Read,books|books for living|fiction|literature|nonfiction|reading|self-help books|will schwalbe|political,1,2574.0,0.0
60,2018-03-17 09:47:37 UTC,,SB11027093093037343542404584103340219066918,WSJ_Markets,Laura+Saunders,WSJ_Article_Tax Report_Do You Own Bitcoin? The IRS Is Coming for You,asset|bitcoin|capital gains |coinbase|cryptocurrency|digital currency|digital-currency wallet |ether,1,903.0,1.0
61,2018-03-11 14:50:27 UTC,,SB11210326209662973945104584087492498923938,WSJ_Tech,Joanna+Stern,"WSJ_Article_Personal Technology: Joanna Stern_Facebook Really Is Spying on You, Just Not Through You",advertisers|advertising|facebook|facebook ads|facebook privacy settings|idfa|instagram|is facebook l,1,1369.0,4.0
61,2018-03-11 14:50:00 UTC,,SB11210326209662973945104584087492498923938,WSJ_Tech,Joanna+Stern,"WSJ_Article_Personal Technology: Joanna Stern_Facebook Really Is Spying on You, Just Not Through You",advertisers|advertising|facebook|facebook ads|facebook privacy settings|idfa|instagram|is facebook l,1,1369.0,4.0
62,2018-03-13 21:19:49 UTC,,SB10053721253826474326804584099101464018882,WSJ_Politics,Michael+C.+Bender,WSJ_Article_Politics and Policy_Trump’s Personal Assistant Fired Over Security Issue,2020 campaign|aide fired|mcentee fired|personal assistant|security issue|trump staff turnover|Donald,1,657.0,0.0
63,2018-03-14 00:11:36 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael+C.+Bender,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’: Inside the Awkward Relationship Between Re",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
64,2018-03-09 21:21:17 UTC,,SB12008635076439604245104584089491434195378,WSJ_Markets,Liz+Hoffman,WSJ_Article_Markets Main_Lloyd Blankfein Prepares to Exit Goldman Sachs as Soon as Year’s End,ceo candidates| chairman| chief executive| departure|financial crisis|goldman| goldman ceo| goldman,1,1241.0,0.0
65,2018-03-14 04:38:17 UTC,,SB11704195083378974371404584097403724108802,WSJ_Business,Khadeeja+Safdar,"WSJ_Article_Business_How Your Returns Are Used Against You at Best Buy, Other Retailers",best buy|best buy returns|return fraud|returning merchandise|returns|store returns|the retail equati,1,1044.0,1.0
66,2018-03-18 23:29:13 UTC,,SB11796467727259013743904584083911728330876,WSJ_Business,Laura+Kusisto,WSJ_Article_Business_The Next Housing Crisis: A Historic Shortage of New Homes,home building| housing shortage|leder| shortage|corporate|industrial news|economic performance|indic,1,2041.0,0.0
67,2018-03-15 19:20:13 UTC,2018-03-19 00:00:00 UTC,SB10385287216379884548704584103473343707450,WSJ_Opinion,The+Editorial+Board,WSJ_Article_Review &amp; Outlook (U.S.)_Vladimir Taunts the West,attack| britain|nerve agent| novichok| russia| sanction| treasury| u.k.|Theresa May|Vladimir Putin|p,7,544.0,0.0
68,2018-03-16 00:35:40 UTC,2018-03-17 00:00:00 UTC,SB11027093093037343542404584101740519748338,WSJ_Markets,Matt+Wirz,WSJ_Article_Credit Markets_Why Puerto Rico is Proving to Be 2018’s Top Bond Investment,bondholders| debt restructuring| puerto rico bankruptcy| puerto rico bonds|puerto rico debt|bankrupt,3,920.0,0.0
69,2018-03-14 06:21:01 UTC,,SB11704195083378974371404584099754000604392,WSJ_Politics,Reid+J.+Epstein,WSJ_Article_Politics and Policy_Special House Race in Pennsylvania Is Too Close to Call,campaign 2018|conor lamb|control of congress|election 2018|election too close to call|midterm electi,1,1337.0,1.0
70,2018-03-16 02:20:54 UTC,,SB11027093093037343542404584103972026867280,WSJ_Business,Sara+Germano,"WSJ_Article_Business_Nike Investigates Workplace Complaints, Says No. 2 Executive Resigns",nike executive|nike management|nike review|nike trevor edwards|nike workplace behavior |Nike|NKE|Mar,1,460.0,0.0
71,2018-03-13 21:29:17 UTC,,SB10053721253826474326804584099160047332756,WSJ_Politics,Michael+C.+Bender,WSJ_Article_Politics and Policy_Rex Tillerson Is Out as Secretary of State; Donald Trump Taps Mike P,department|dept|donald|ousted|out|resigns|russ|state|tillerson|trump|Donald Trump|Rex Tillerson|regu,1,1353.0,0.0
72,2018-03-18 18:23:54 UTC,,SB11027093093037343542404584107573912000770,WSJ_Politics,Aruna+Viswanatha,"WSJ_Article_Politics and Policy_Andrew McCabe Kept Notes About Conversations With Trump, Gave Them t",campaign|collusion|mccabe firing|mueller probe|russia|political|general news|crime|legal action|poli,1,1138.0,0.0
73,2018-03-15 12:16:11 UTC,,SB11704195083378974371404584099474288368000,WSJ_Politics,Michael+C.+Bender,"WSJ_Article_Politics and Policy_‘Rex, Eat the Salad’: Inside the Awkward Relationship Between Re",donald trump|mike pompeo|rex tillerson|rex tillerson fired|secretary of state|state department|us di,1,1248.0,0.0
74,2018-03-16 10:27:33 UTC,,SB11027093093037343542404584103340219066918,WSJ_Markets,Laura+Saunders,WSJ_Article_Tax Report_Do You Own Bitcoin? The IRS Is Coming for You,asset|bitcoin|capital gains |coinbase|cryptocurrency|digital currency|digital-currency wallet |ether,1,903.0,1.0
75,2018-03-16 09:19:16 UTC,,SB11324809692884693541404584102850958599862,WSJ_Tech,Daniel+Epstein,"WSJ_Article_Technology_Meet the Man Who’s Spent $70,000 Playing a Mobile Game",video games|Sony|6758.TO|SNE|Daigo|financial performance|earnings|corporate|industrial news|games|po,1,185.0,3.0
76,2018-03-17 22:27:09 UTC,,SB10961112392510633702504584107522489173200,WSJ_Life,Andrew+Beaton,WSJ_Article_College Basketball_Why UMBC Was the Perfect Team to Pull Off the Ultimate NCAA Tournamen,march madness|ncaa|ncaa tournament|umbc|umbc retrievers|university of maryland baltimore county|uva|,1,1458.0,0.0
77,2018-03-11 01:10:47 UTC,2018-03-22 00:00:00 UTC,SB11210326209662973945104584092052883185132,WSJ_Business,Joseph+Walker,WSJ_Article_Health_Regeneron and Sanofi Plan to Cut Cholesterol Drug Price in Exchange for Wider Cov,amgen| cholesterol drugs| drug prices| icer| insitute for clinical and economic review| pcsk9 | pcsk,7,803.0,0.0
78,2018-03-18 23:25:32 UTC,,SB12008635076439604245104584091331740671664,WSJ_Opinion,"Holman+W.+Jenkins,+Jr.",WSJ_Article_Business World_Don’t Blink or You’ll Miss the Trade War,china| russia| tariffs| technology|trade war| trump|Donald Trump|financial performance|earnings proj,1,857.0,0.0
79,2018-03-15 23:08:27 UTC,2018-03-24 00:00:00 UTC,SB11027093093037343542404584103651896948752,WSJ_Politics,William+Mauldin,WSJ_Article_Politics and Policy_Surplus or Deficit? Trump Quarrels With Canada Over Trade Numbers,economic performance|indicators|trade figures|trade|external payments|physical trade|economic news|p,3,759.0,0.0
80,2018-03-12 06:35:08 UTC,,SB11704195083378974371404584095641034412708,WSJ_Tech,Ted+Greenwald,WSJ_Article_Technology_Why Intel Is So Wary of a Broadcom-Qualcomm Merger,Broadcom|AVGO|Intel|INTC|Qualcomm|QCOM|Samsung Electronics|005930.SE|NXP Semiconductors N.V.|NXPI|St,1,1005.0,0.0
81,2018-03-16 01:20:44 UTC,,SB10342241267609484717704584103631954506304,WSJ_Politics,Rebecca Ballhaus,WSJ_Article_Politics and Policy_Special Counsel Robert Mueller Has Subpoenaed Trump Organization in,collusion|donald|investigation|mueller|organization|probe|robert|russia|subpeona|subpeonas|trump|Tru,1,495.0,1.0
82,2018-03-14 20:41:15 UTC,,SB11027093093037343542404584101822248659720,WSJ_Business,Paul+Ziobro,WSJ_Article_Business_Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,bankruptcy|bankruptcynews| jobs| liquidiation|pe restructuring| retail| toys r us|Toys ‘R&#39; Us|,1,942.0,1.0
83,2018-03-11 20:09:41 UTC,,SB12007907239604714277804584005020680705560,WSJ_Opinion,Peggy+Noonan,WSJ_Article_Declarations_Who’s Afraid of Jordan Peterson?,commentaries|opinions,1,1243.0,0.0
84,2018-03-09 07:57:58 UTC,,SB10134659534830883462704584083250523366832,WSJ_Life,Jacob+Gallagher,WSJ_Article_Fashion_Stop Dressing Like Every Other Guy: Give Up Your Gingham Shirts,button downs|collared shirts|formal shirts|gingham|gingham shirts|j. crew|mens fashion|political|gen,1,740.0,0.0
85,2018-03-09 21:32:39 UTC,,SB10134659534830883462704584083250523366832,WSJ_Life,Jacob+Gallagher,WSJ_Article_Fashion_Stop Dressing Like Every Other Guy: Give Up Your Gingham Shirts,button downs|collared shirts|formal shirts|gingham|gingham shirts|j. crew|mens fashion|political|gen,1,740.0,0.0
86,2018-03-17 18:43:14 UTC,,SB11027093093037343542404584107573912000770,WSJ_Politics,Aruna+Viswanatha,"WSJ_Article_Politics and Policy_Andrew McCabe Kept Notes About Conversations With Trump, Gave Them t",campaign|collusion|mccabe firing|mueller probe|russia|political|general news|crime|legal action|poli,1,1138.0,0.0
